ID,Nama Makanan,Kategori,Jumlah Sajian,Per Sajian,Energi,Energi dari lemak,Energi dari lemak jenuh,Karbohidrat total,Karbohidrat lain,Protein,Lemak total,Lemak jenuh,Lemak tidak jenuh ganda,Lemak tidak jenuh tunggal,Lemak trans,Kolesterol,Serat pangan,Serat pangan larut,Serat pangan tidak larut,Gula,Gula alkohol,Air,Abu,Vitamin A,B0Karoten,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Folat,Biotin,Kolin,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Kalsium,Fosfor,Magnesium,Natrium,Kalium,Besi,Seng,Tembaga,Mangan,Iodium,Selenium,Fluor,Kromium,L0Karnitin,Myo0Inositol,Asam linoleat,Asam a0linolenat
"671,Choco Banana,Oatbits,3.0,""keping (16,5 g)"",80.0,,,11.0,,1.0,3.5,2.0,,,,0.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,"
672,Choco Banana,Pocky,1.0,bungkus (42 g),200.0,,,29.0,,3.0,8.0,7.0,,,,0.0,0.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,60.0,0.0,,,,,,,,,,,,
673,Choco Berry,Joyday,1.0,sajian (40 g),45.0,,,8.0,,1.0,1.5,0.5,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
674,Choco Bits,Energen,1.0,bungkus (20 ml),100.0,,,13.0,,2.0,4.0,3.0,,,,0.0,0.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,25.0,0.0,,,,,,,,,,,,
675,Choco Boom,Zee,1.0,sachet (27 g),110.0,,,23.0,,1.0,2.0,1.5,,,,0.0,1.0,,,19.0,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,,
676,Choco Brownies,Nextar,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,Choco Cashew Spread,Bella,1.0,porsi (30 g),170.0,,,17.0,,1.0,11.0,4.5,,,,0.0,3.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,43.0,190.0,,,,,,,,,,,,
678,Choco Cheese Slice,Emina,1.0,porsi (15 g),50.0,,,5.0,,1.0,3.0,1.5,,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,
679,Choco Chips,L'Agie,1.0,porsi (15 g),80.0,,,9.0,,1.0,4.5,4.0,,,,,2.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
680,Choco Cookie,Nextar,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
