ID,Nama Makanan,Kategori,Jumlah Sajian,Per Sajian,Energi,Energi dari lemak,Energi dari lemak jenuh,Karbohidrat total,Karbohidrat lain,Protein,Lemak total,Lemak jenuh,Lemak tidak jenuh ganda,Lemak tidak jenuh tunggal,Lemak trans,Kolesterol,Serat pangan,Serat pangan larut,Serat pangan tidak larut,Gula,Gula alkohol,Air,Abu,Vitamin A,B0Karoten,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Folat,Biotin,Kolin,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Kalsium,Fosfor,Magnesium,Natrium,Kalium,Besi,Seng,Tembaga,Mangan,Iodium,Selenium,Fluor,Kromium,L0Karnitin,Myo0Inositol,Asam linoleat,Asam a0linolenat
1,0% Fat Yogurt Strawberry,Elle & Vire,1.0,pot (125 g),51.0,,,7.6,,4.0,0.1,0.0,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1% Lemak Susu,Keju & Susu,1.0,gelas,102.0,,,12.18,,8.22,2.37,1.545,0.085,0.676,,12.0,0.0,,,12.69,,,,,,,,,,,,,,,,,,,,,,107.0,366.0,,,,,,,,,,,,
3,1/3 PB Hazelnut,Lean Lab,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1/3 PB Matcha,Lean Lab,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1/3 PB Original,Lean Lab,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1/3 PB Speculoos,Lean Lab,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1/3 Pb Chocolate,Lean Lab,2.0,sendok makan (13 g),50.0,,,8.0,,4.0,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
8,100 Plus,F&N,100.0,ml,20.0,,,4.9,,0.0,0.0,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,
9,2% Lemak Susu,Keju & Susu,100.0,gram (g),50.0,,,4.68,,3.3,1.97,1.257,0.073,0.56,,8.0,0.0,,,5.06,,,,,,,,,,,,,,,,,,,,,,41.0,150.0,,,,,,,,,,,,
10,3 in 1 Neopolitana,Wall's,100.0,ml,90.0,,,14.0,,1.0,3.0,2.5,,,,,1.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
11,3 in 1 Oat Cereal Drink Matcha Green Tea,Quaker,1.0,porsi (28 g),120.0,,,21.0,,2.0,3.0,1.0,,,,0.0,1.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,
12,3 in 1 Oat Cereal Drink Mocha,Quaker,1.0,porsi (28 g),120.0,,,20.7,,1.8,3.1,0.9,0.6,1.1,,0.0,1.1,,,9.0,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,
13,3 in 1 Oat Cereal Drink Vanilla,Quaker,1.0,bungkus (28 g),110.0,,,21.0,,1.0,2.5,1.5,0.3,0.4,,0.0,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,
14,3 in 1 Rasa Cokelat,Quaker,1.0,kemasan (29 g),120.0,,,22.0,,2.0,3.0,2.0,,,,0.0,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,
15,3D Potato Tornado Cheese,Taro,1.0,takaran saji (20 g),100.0,,,14.0,,1.0,4.0,2.0,,,,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
16,3In1 Kopi Mix,Pikopi,1.0,sachet (20 g),90.0,,,17.0,,1.0,2.0,2.0,,,,,1.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
17,Abon Ayam,Gloria,1.0,sendok (25 g),110.0,,,10.0,,7.0,5.0,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,
18,Abon Sapi,Gloria,1.0,porsi (25 g),130.0,,,12.0,,12.0,6.0,4.5,,,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,430.0,,,,,,,,,,,,,
19,Acar,Sayuran,1.0,sedang,12.0,,,2.68,,0.4,0.12,0.031,0.05,0.002,,0.0,0.8,,,2.28,,,,,,,,,,,,,,,,,,,,,,833.0,75.0,,,,,,,,,,,,
20,Acar Mentimun Asam,Sayuran,100.0,gram (g),11.0,,,2.26,,0.33,0.2,0.052,0.082,0.003,,0.0,1.2,,,1.06,,,,,,,,,,,,,,,,,,,,,,1208.0,23.0,,,,,,,,,,,,
21,Acar Mentimun Manis,Sayuran,100.0,gram (g),117.0,,,31.81,,0.37,0.26,0.066,0.106,0.004,,0.0,1.1,,,14.63,,,,,,,,,,,,,,,,,,,,,,939.0,32.0,,,,,,,,,,,,
22,Acno,Youvit,1.0,gummy (4 g),15.0,,,3.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
23,Activ8,Yoforia,1.0,botol (170 ml),100.0,,,24.0,,2.0,0.0,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,
24,Active,Balans,1.0,saset  (15 g),60.0,,,15.0,,0.0,0.0,0.0,,,,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
25,Active Chocolate,Entrasol,3.0,sdm (35 g),140.0,,,20.0,,7.0,3.5,1.0,,,,0.0,2.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,110.0,575.0,,,,,,,,,,,,
26,Adem Sari Herbal Lemon,Adem Sari,1.0,botol (175 ml),60.0,,,16.0,,0.0,0.0,0.0,,,,0.0,0.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,65.0,0.0,,,,,,,,,,,,
27,Adem Sari Sparkling,Adem Sari,1.0,gelas  (320 ml),140.0,,,35.0,,0.0,0.0,,,,,0.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,32000.0,,,,,,,,,,,,,
28,Afternoon Sandwich Chicken,Salad Point,1.0,porsi,321.0,,,36.0,,13.0,20.0,,,,,,3.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,538.0,,,,,,,,,,,,,
29,Agar-agar Pencuci Mulut,Lainnya,100.0,gram (g),62.0,,,14.19,,1.22,0.0,0.0,0.0,0.0,,0.0,0.0,,,13.49,,,,,,,,,,,,,,,,,,,,,,75.0,1.0,,,,,,,,,,,,
30,Aglio Olio,Wow Spageti,1.0,porsi (75 g),300.0,,,46.0,,11.0,8.0,3.0,,,,,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,1160.0,,,,,,,,,,,,,
31,Ahh',Nabati,1.0,bungkus (4 g),20.0,,,3.0,,0.0,1.0,0.5,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,
32,Ahh',Richeese,1.0,bungkus (9 g),45.0,,,6.0,,0.0,2.0,1.5,,,,0.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,
33,Air,Minuman,1.0,gelas (240 ml),0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,
34,Air,Lainnya,1.0,gelas (240 ml),0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,
35,Air (Botol),Minuman,1.0,gelas,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,
36,Air Kelapa,Buah,1.0,gelas,46.0,,,8.9,,1.73,0.48,0.422,0.005,0.019,,0.0,2.6,,,6.26,,,,,,,,,,,,,,,,,,,,,,252.0,600.0,,,,,,,,,,,,
37,Air Keran,Minuman,1.0,gelas,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,,,,,,,
38,Ale-Ale,Wings Food,1.0,gelas (180 ml),60.0,,,14.0,,0.0,0.0,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,
39,All Purpose Seasoning,Jay's Kitchen,1.0,porsi (2 g),5.0,,,1.0,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,280.0,,,,,,,,,,,,,
"40,All Purpose Seasoning,Khafsha,1.0,""serving (2,5 g)"",10.0,,,1.0,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,"
41,Almon Mix,Mama Bear,1.0,porsi (30 g),130.0,,,21.0,,2.0,4.5,4.0,,,,2.0,3.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,
42,Almon Mix Alpukat,Mama Bear,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Almond & Cashew Chocolate Granola,Oat Morning,2.0,cup (40 g),191.0,,,27.0,,4.0,8.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Almond & Pine Nuts Soymilk,Yonsei,1.0,box (200 ml),130.0,,,16.0,,5.0,5.0,1.2,,,,0.0,0.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,200.0,0.0,,,,,,,,,,,,
45,Almond & Walnut Soymilk,Vegemil,1.0,porsi (190 ml),130.0,,,16.0,,6.0,4.5,1.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,
46,Almond Bandrek,Rejuve,1.0,porsi (250 ml),360.0,,,43.0,,12.0,16.0,2.0,,9.0,,0.0,6.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,
47,Almond Bites,Kartika Sari,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Almond Bites,Kartika Toast,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Almond Cashew Snack Bar,Go Natural,1.0,serving (20 g),110.0,,,8.0,,4.0,7.0,1.0,1.5,4.5,,0.0,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
"50,Almond Cookies,Paroti,1.0,""porsi (17,2 g)"",90.0,,,10.0,,2.0,4.5,2.5,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,"
"51,Almond Cookies,Kartika Sari,1.0,""porsi (17,2 g)"",90.0,,,10.0,,2.0,4.5,2.5,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,"
52,Almond Milk,Rejuve,100.0,ml,81.0,,,6.0,,2.0,5.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,
53,Almond Milk,Sanitarium,100.0,ml,16.0,,,0.3,,0.6,1.4,0.1,,,,0.0,0.3,,,0.1,,,,,,,,,,,,,,,,,,,,,,36.0,19.0,,,,,,,,,,,,
54,Almond Milk Unsweetened,Sanitarium,1.0,porsi (250 ml),41.0,,,0.8,,1.4,3.5,0.3,1.0,2.2,,0.0,0.8,,,0.3,,,,,,,,,,,,,,,,,,,,,,90.0,49.0,,,,,,,,,,,,
55,Almond Pucat,Biji-Bijian,100.0,gram (g),581.0,,,19.94,,21.94,50.62,3.89,12.054,32.287,,0.0,10.4,,,4.96,,,,,,,,,,,,,,,,,,,,,,28.0,687.0,,,,,,,,,,,,
56,Almond Sangrai Kering (dengan Tambahan Garam),Biji-Bijian,100.0,gram (g),597.0,,,19.29,,22.09,52.83,4.047,12.649,33.658,,0.0,11.8,,,4.9,,,,,,,,,,,,,,,,,,,,,,339.0,746.0,,,,,,,,,,,,
57,Almond Tart,Pahlawan,1.0,porsi (50 g),260.0,,,25.0,,4.0,16.0,8.0,,,,20.0,17.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,
58,Aloe Vera,Cap Panda,1.0,cup (310 ml),100.0,,,26.0,,0.0,0.0,0.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,
59,Aloe Vera Jelly,Wong Coco,1.0,cup (80 g),70.0,,,16.0,,1.0,0.0,0.0,0.0,0.0,,,1.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,
60,Aloe Vera Low Sugar,Wong Coco,1.0,porsi (140 g),20.0,,,5.0,,0.0,0.0,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,
61,Alpine Dark Chocolate,L'Agie,1.0,pack (25 g),130.0,,,15.0,,2.0,7.0,6.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,
62,Alpine Full Milk,L'Agie,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Alpine Peanut Milk Chocolate,L'Agie,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Alpukat,Buah,100.0,gram (g),160.0,,,8.53,,2.0,14.66,2.126,1.816,9.799,,0.0,6.7,,,0.66,,,,,,,,,,,,,,,,,,,,,,7.0,485.0,,,,,,,,,,,,
65,Americano Ice Black,Nescafe,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Americano Zero Sugar,Nescafe,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Amino 2000,Ultimate Nutrition,3.0,tablet,24.0,,,0.0,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino 2002,Ultimate Nutrition,3.0,tablet,24.0,,,0.0,,6.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
69,Amino 2222,Optimum Nutrition,2.0,tablets,15.0,,,2.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,40.0,0.0,,,,,,,,,,,,
70,Amino Energy,Optimum Nutrition,2.0,scoops (9 g),5.0,,,1.0,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
71,Anabolic ISO Whey,Kevin Levrone,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Anabolic Mass,Kevin Levrone,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Anabolic Mass Gainer,Kevin Levrone,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Angel Cookies,The Harvest,1.0,porsi (40 g),210.0,,,24.0,,3.0,12.0,8.0,,,,30.0,3.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,
75,Angel Hair,San Remo,100.0,g,366.0,,,72.0,,12.0,2.0,0.5,,,,,3.0,,,2.5,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,
"76,""Anggur (Merah atau Hijau, Jenis Varietas Eropa Seperti Thompson tanpa Biji)"",Buah,100.0,gram (g),69.0,,,18.1,,0.72,0.16,0.054,0.048,0.007,,0.0,0.9,,,15.48,,,,,,,,,,,,,,,,,,,,,,2.0,191.0,,,,,,,,,,,,"
77,Anggur Blanc Chenin,Minuman,1.0,porsi 150 ml,120.0,,,4.9,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Anggur Cabernet Sauvignon,Minuman,1.0,porsi 150 ml,123.0,,,3.82,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Anggur Chianti,Minuman,1.0,porsi 150 ml,124.0,,,4.01,,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.17,,,,,,,,,,,,,,,,,,,,,,7.0,146.0,,,,,,,,,,,,
80,Anggur Jenis Amerika (Kulit Licin),Buah,1.0,anggur,2.0,,,0.41,,0.02,0.01,0.003,0.002,0.0,,0.0,0.0,,,0.39,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,,,,,,,
81,Anggur Jenis Eropa,Buah,1.0,tanpa biji,3.0,,,0.9,,0.04,0.01,0.003,0.002,0.0,,0.0,0.0,,,0.77,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,,,,,,,
82,Anggur Pinot Blanc,Minuman,1.0,porsi 150 ml,121.0,,,2.85,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Anggur Pinot Noir,Minuman,1.0,porsi 150 ml,122.0,,,3.4,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Anggur Riesling,Minuman,1.0,porsi 150 ml,120.0,,,5.54,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Anggur Sauvignon Blanc,Minuman,1.0,porsi 150 ml,121.0,,,3.01,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Anggur Zinfandel,Minuman,1.0,porsi 150 ml,131.0,,,4.2,,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Anti-Batuk Shot,Acaii Tea,1.0,shot (140 ml),75.0,,,15.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Anti-Flu Shot,Acaii Tea,1.0,bottle (125 ml),70.0,,,14.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Apel,Buah,1.0,sedang (diameter 7 cm) (kira-kira 3 per 450 g),72.0,,,19.06,,0.36,0.23,0.039,0.07,0.01,,0.0,3.3,,,14.34,,,,,,,,,,,,,,,,,,,,,,1.0,148.0,,,,,,,,,,,,
90,Apel,Lainnya,1.0,sedang (diameter 7 cm) (kira-kira 3 per 450 g),72.0,,,19.06,,0.36,0.23,0.039,0.07,0.01,,0.0,3.3,,,14.34,,,,,,,,,,,,,,,,,,,,,,1.0,148.0,,,,,,,,,,,,
91,Apel (tanpa Kulit),Buah,100.0,gram (g),48.0,,,12.76,,0.27,0.13,0.021,0.037,0.005,,0.0,1.3,,,10.1,,,,,,,,,,,,,,,,,,,,,,0.0,90.0,,,,,,,,,,,,
92,Apel Emas Lezat,Buah,1.0,sedang (diameter 7 cm),72.0,,,19.06,,0.36,0.23,0.038,0.071,0.01,,0.0,3.3,,,14.33,,,,,,,,,,,,,,,,,,,,,,1.0,148.0,,,,,,,,,,,,
93,Apel Fuji,Buah,100.0,gram (g),52.0,,,13.81,,0.26,0.17,0.028,0.051,0.007,,0.0,2.4,,,10.39,,,,,,,,,,,,,,,,,,,,,,1.0,107.0,,,,,,,,,,,,
94,Apel Kering,Buah,100.0,gram (g),243.0,,,65.89,,0.93,0.32,0.052,0.093,0.013,,0.0,8.7,,,57.19,,,,,,,,,,,,,,,,,,,,,,87.0,450.0,,,,,,,,,,,,
95,Apel Merah Lezat,Buah,1.0,sedang (diameter 7 cm),72.0,,,19.06,,0.36,0.23,0.038,0.071,0.01,,0.0,3.3,,,14.33,,,,,,,,,,,,,,,,,,,,,,1.0,148.0,,,,,,,,,,,,
96,Apple Blackberry,Mama Roz,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Apple Cider Vinegar Gummy,Youvit,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Apple Jacks,Kellogg's,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Apple Vinegar,Finega,1.0,serving (30 ml),0.0,,,1.0,,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
"100,""Apricot, Sultana & Almond Muesli"",Oatsy,1.0,porsi (45 g),180.0,,,29.0,,5.0,4.5,1.0,1.5,2.0,,0.0,10.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,"
101,Aprikot Kering,Buah,100.0,gram (g),241.0,,,62.64,,3.39,0.51,0.017,0.074,0.074,,0.0,7.3,,,53.44,,,,,,,,,,,,,,,,,,,,,,10.0,1162.0,,,,,,,,,,,,
102,Aqua,Danone,100.0,ml,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Arabika Pro,Kaluli,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Aren Oat Latte Reguler,Janji Jiwa,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
