ID;Nama Makanan;Kategori;Jumlah Sajian;Per Sajian;Energi;Energi dari lemak;Energi dari lemak jenuh;Karbohidrat total;Karbohidrat lain;Protein;Lemak total;Lemak jenuh;Lemak tidak jenuh ganda;Lemak tidak jenuh tunggal;Lemak trans;Kolesterol;Serat pangan;Serat pangan larut;Serat pangan tidak larut;Gula;Gula alkohol;Air;Abu;Vitamin A;B0Karoten;Vitamin B1;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin B12;Folat;Biotin;Kolin;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Kalsium;Fosfor;Magnesium;Natrium;Kalium;Besi;Seng;Tembaga;Mangan;Iodium;Selenium;Fluor;Kromium;L0Karnitin;Myo0Inositol;Asam linoleat;Asam a0linolenat
4477;Lotte Pepero Almond;CV. Aneka Semesta Nutrisindo;1;32 gram;140 kkal;0;0;23 g;0;4 g;3.50 g;0;0;0;0;0;0;0;0;7 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
4478;Lotte Pepero White Cookie;CV. Aneka Semesta Nutrisindo;1;32 gram;160 kkal;0;0;20 g;0;3 g;7 g;0;0;0;0;0;0;0;0;10 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
4458;Nola Choco Chips;CV. Cahaya Sinar Terang;1;25 gram;120 kkal;0;0;18 g;0;1 g;5 g;0;0;0;0;0;2 g;0;0;6 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
4457;Nola Granola Chips Choco Banila;CV. Cahaya Sinar Terang;1;25 gram;120 kkal;0;0;17 g;0;2 g;4.50 g;0;0;0;0;0;4 g;0;0;5 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
4455;Nola Granola Chips Pandan Nangka;CV. Cahaya Sinar Terang;1;25 gram;120 kkal;0;0;18 g;0;2 g;4 g;0;0;0;0;0;3 g;0;0;5 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
4456;Nola Granola Chips Peanut;CV. Cahaya Sinar Terang;1;25 gram;120 kkal;0;0;16 g;0;3 g;5 g;0;0;0;0;0;3 g;0;0;4 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1768;Esprecielo caramel macchiato;CV. Esprecielo International;1;23 g;110 kkal;0;0;17 g;0;1 g;4 g;0;0;0;0;0;0 g;0;0;10 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1839;Abon ayam gloria;CV. Gloria Wijaya Kusuma;1;25 g;110 kkal;0;0;10 g;0;7 g;5 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1838;Abon sapi gloria;CV. Gloria Wijaya Kusuma;1;25 g;130 kkal;0;0;12 g;0;12 g;6 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
4898;Jangkrik Mas Jahe Sugar Free;CV. Herba Liem Putra;1;7 gram;30 kkal;0;0;7 g;0;0 g;0 g;0;0;0;0;0;0;0;0;0 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
